1;1;Que tan satisfecho esta?;0.20
1;2;Cual es su funcionalidad favorita?;0.20
1;3;Recomendaria la plataforma?;0.20
1;4;Como califica la interfaz?;0.20
1;5;Es facil encontrar lo que busca?;0.20
2;6;Se siente valorado en su trabajo?;0.20
2;7;Tiene las herramientas necesarias?;0.20
2;8;El ambiente laboral es positivo?;0.20
2;9;Siente que hay oportunidades de crecimiento?;0.20
2;10;Recomendaria esta empresa para trabajar?;0.20
3;11;Con que frecuencia usa la plataforma?;0.20
3;12;Ha tenido problemas tecnicos?;0.20
3;13;La navegacion es intuitiva?;0.20
3;14;Encuentra facilmente lo que busca?;0.20
3;15;Como evaluaria su experiencia general?;0.20
4;16;Con que frecuencia usa la plataforma?;0.20
4;17;Ha tenido problemas tecnicos?;0.20
4;18;La navegacion es intuitiva?;0.20
4;19;Encuentra facilmente lo que busca?;0.20
4;20;Como evaluaria su experiencia general?;0.20
5;21;Tiene alguna sugerencia para mejorar?;0.20
5;22;Cual es su nivel de satisfaccion?;0.20
5;23;Recomendaria nuestro servicio?;0.20
5;24;Volveria a utilizarlo?;0.20
5;25;Que aspectos destacaria?;0.20
6;26;El producto cumple con sus expectativas?;0.20
6;27;La calidad percibida es buena?;0.20
6;28;Volveria a comprar este producto?;0.20
6;29;El empaque llego en buenas condiciones?;0.20
6;30;Fue facil de usar el producto?;0.20
7;31;Hay buena comunicacion interna?;0.20
7;32;Se siente respetado por sus colegas?;0.20
7;33;La empresa promueve el bienestar?;0.20
7;34;Existen conflictos frecuentes?;0.20
7;35;Considera que hay un buen liderazgo?;0.20
8;36;Conoce esta marca?;0.20
8;37;Ha probado productos similares?;0.20
8;38;Con que frecuencia consume este tipo de productos?;0.20
8;39;Cual es su opinion sobre los precios?;0.20
8;40;Estaria dispuesto a probar este producto?;0.20
9;41;El contenido fue relevante?;0.20
9;42;El instructor explico claramente?;0.20
9;43;La duracion fue adecuada?;0.20
9;44;Recomendaria esta formacion?;0.20
9;45;Se siente preparado luego del curso?;0.20
10;46;Conoce esta marca?;0.20
10;47;Ha probado productos similares?;0.20
10;48;Con que frecuencia consume este tipo de productos?;0.20
10;49;Cual es su opinion sobre los precios?;0.20
10;50;Estaria dispuesto a probar este producto?;0.20
11;51;Conoce esta marca?;0.20
11;52;Ha probado productos similares?;0.20
11;53;Con que frecuencia consume este tipo de productos?;0.20
11;54;Cual es su opinion sobre los precios?;0.20
11;55;Estaria dispuesto a probar este producto?;0.20
12;56;Se siente valorado en su trabajo?;0.20
12;57;Tiene las herramientas necesarias?;0.20
12;58;El ambiente laboral es positivo?;0.20
12;59;Siente que hay oportunidades de crecimiento?;0.20
12;60;Recomendaria esta empresa para trabajar?;0.20
13;61;Con que frecuencia usa la plataforma?;0.20
13;62;Ha tenido problemas tecnicos?;0.20
13;63;La navegacion es intuitiva?;0.20
13;64;Encuentra facilmente lo que busca?;0.20
13;65;Como evaluaria su experiencia general?;0.20
14;66;El problema fue resuelto satisfactoriamente?;0.20
14;67;El tecnico fue puntual?;0.20
14;68;La comunicacion fue clara?;0.20
14;69;Hubo seguimiento luego del servicio?;0.20
14;70;Recomendaria el servicio tecnico?;0.20
15;71;Que tan seguido usa el servicio?;0.20
15;72;Cual es su funcionalidad favorita?;0.20
15;73;Recomendaria la plataforma?;0.20
15;74;Como califica la interfaz?;0.20
15;75;Es facil encontrar lo que busca?;0.20
16;76;Se siente valorado en su trabajo?;0.20
16;77;Tiene las herramientas necesarias?;0.20
16;78;El ambiente laboral es positivo?;0.20
16;79;Siente que hay oportunidades de crecimiento?;0.20
16;80;Recomendaria esta empresa para trabajar?;0.20
17;81;Conoce esta marca?;0.20
17;82;Ha probado productos similares?;0.20
17;83;Con que frecuencia consume este tipo de productos?;0.20
17;84;Cual es su opinion sobre los precios?;0.20
17;85;Estaria dispuesto a probar este producto?;0.20
18;86;Conoce esta marca?;0.20
18;87;Ha probado productos similares?;0.20
18;88;Con que frecuencia consume este tipo de productos?;0.20
18;89;Cual es su opinion sobre los precios?;0.20
18;90;Estaria dispuesto a probar este producto?;0.20
19;91;Que tan seguido usa el servicio?;0.20
19;92;Cual es su funcionalidad favorita?;0.20
19;93;Recomendaria la plataforma?;0.20
19;94;Como califica la interfaz?;0.20
19;95;Es facil encontrar lo que busca?;0.20
