50;"Encuesta de Clima Laboral";5;2024;0
49;"Encuesta de Uso de Plataforma";9;2022;0
48;"Encuesta de Feedback General";10;2025;0
47;"Encuesta de Satisfaccion Cliente";5;2025;0
46;"Encuesta de Calidad Producto";8;2024;0
45;"Encuesta de Servicio Tecnico";8;2024;0
44;"Encuesta de Evaluacion Formacion";8;2023;0
43;"Encuesta de Feedback General";10;2025;0
42;"Encuesta de Uso de Plataforma";7;2024;0
41;"Encuesta de Calidad Producto";8;2023;0
40;"Encuesta de Investigacion de Mercado";5;2022;0
39;"Encuesta de Opinion Empleado";5;2024;0
38;"Encuesta de Feedback General";5;2022;0
37;"Encuesta de Preferencia Usuario";2;2024;0
36;"Encuesta de Feedback General";8;2025;0
35;"Encuesta de Preferencia Usuario";10;2022;0
34;"Encuesta de Feedback General";7;2022;0
33;"Encuesta de Preferencia Usuario";4;2022;0
32;"Encuesta de Evaluacion Formacion";11;2023;0
31;"Encuesta de Investigacion de Mercado";9;2023;0
30;"Encuesta de Calidad Producto";11;2023;0
29;"Encuesta de Opinion Empleado";5;2023;0
28;"Encuesta de Feedback General";6;2025;0
27;"Encuesta de Investigacion de Mercado";3;2023;0
26;"Encuesta de Servicio Tecnico";10;2025;0
25;"Encuesta de Uso de Plataforma";1;2022;0
24;"Encuesta de Clima Laboral";9;2023;0
23;"Encuesta de Calidad Producto";4;2022;0
22;"Encuesta de Evaluacion Formacion";2;2025;0
21;"Encuesta de Evaluacion Formacion";10;2025;0
20;"Encuesta de Preferencia Usuario";4;2022;0
19;"Encuesta de Preferencia Usuario";9;2022;0
18;"Encuesta de Investigacion de Mercado";9;2025;0
17;"Encuesta de Investigacion de Mercado";12;2023;0
16;"Encuesta de Opinion Empleado";8;2023;0
15;"Encuesta de Preferencia Usuario";1;2023;0
14;"Encuesta de Servicio Tecnico";2;2025;0
13;"Encuesta de Uso de Plataforma";5;2022;0
12;"Encuesta de Opinion Empleado";8;2023;0
11;"Encuesta de Investigacion de Mercado";9;2025;0
10;"Encuesta de Investigacion de Mercado";4;2025;0
9;"Encuesta de Evaluacion Formacion";11;2024;0
8;"Encuesta de Investigacion de Mercado";11;2023;0
7;"Encuesta de Clima Laboral";2;2023;0
6;"Encuesta de Calidad Producto";5;2024;0
5;"Encuesta de Feedback General";11;2024;0
4;"Encuesta de Uso de Plataforma";7;2022;0
3;"Encuesta de Uso de Plataforma";10;2023;0
2;"Encuesta de Opinion Empleado";6;2022;0
1;"Encuesta de Preferencia Usuario";1;2023;0
